YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1880,20.30,22.50,27.10,30.00,29.70,29.50,29.00,28.90,28.30,28.00,23.30,19.20,21.03,28.93,29.13,26.53,26.41
1881,19.00,23.80,26.00,30.90,29.80,29.50,29.20,28.60,29.20,27.50,23.20,19.20,20.67,28.90,29.10,26.63,26.33
1882,20.60,22.00,28.10,30.00,29.30,29.60,29.20,28.70,28.60,27.20,24.10,20.40,20.60,29.13,29.17,26.63,26.38
1883,18.80,20.90,26.90,29.80,31.00,29.80,29.20,28.90,29.10,27.90,22.40,18.20,20.03,29.23,29.30,26.47,26.26
1884,19.40,21.80,28.70,30.70,29.60,29.30,29.10,29.20,28.00,26.90,22.30,19.90,19.80,29.67,29.20,25.73,26.10
1885,20.80,21.50,27.70,31.80,31.00,30.80,29.40,28.40,28.80,27.90,23.50,19.90,20.73,30.17,29.53,26.73,26.79
1886,19.80,21.80,26.90,30.50,30.30,30.40,29.30,29.00,28.80,28.60,24.50,20.80,20.50,29.23,29.57,27.30,26.65
1887,19.10,21.30,27.40,29.40,30.20,29.60,28.90,28.90,28.90,26.90,23.40,19.60,20.40,29.00,29.13,26.40,26.23
1888,18.80,22.00,27.90,30.30,30.60,31.90,29.10,28.50,28.90,27.40,23.60,18.90,20.13,29.60,29.83,26.63,26.55
1889,21.00,21.60,27.80,31.00,31.30,30.10,29.50,28.90,28.80,27.70,23.80,20.00,20.50,30.03,29.50,26.77,26.70
1890,20.00,22.60,28.10,30.60,30.90,29.50,28.70,28.50,28.60,26.80,22.60,20.20,20.87,29.87,28.90,26.00,26.41
1891,19.50,21.50,25.40,31.00,30.50,31.20,29.20,28.90,28.70,27.50,24.10,20.40,20.40,28.97,29.77,26.77,26.48
1892,20.30,23.60,27.90,30.60,31.40,29.80,28.90,28.50,29.00,27.90,22.10,18.50,21.43,29.97,29.07,26.33,26.70
1893,18.80,19.30,24.40,29.50,28.70,29.00,28.90,29.10,28.60,27.80,23.60,19.50,18.87,27.53,29.00,26.67,25.52
1894,20.10,23.30,27.80,30.10,31.80,29.70,28.80,28.50,28.90,27.80,23.00,20.30,20.97,29.90,29.00,26.57,26.61
1895,19.80,22.00,27.30,29.10,31.60,29.60,29.50,28.80,29.60,27.20,24.50,19.50,20.70,29.33,29.30,27.10,26.61
1896,19.50,23.70,28.90,32.30,30.70,29.40,29.50,29.10,29.10,27.90,24.10,19.80,20.90,30.63,29.33,27.03,26.98
1897,21.00,23.40,27.50,30.70,31.50,30.00,29.50,28.60,29.10,27.70,23.60,19.40,21.40,29.90,29.37,26.80,26.87
1898,19.00,22.20,26.90,30.40,31.30,30.00,28.80,28.70,28.70,27.00,23.40,20.29,20.20,29.53,29.17,26.37,26.32
1899,18.39,22.49,28.19,30.39,30.99,29.49,28.89,30.89,29.59,27.19,22.59,19.68,20.39,29.86,29.76,26.46,26.61
1900,21.38,23.98,28.48,30.48,30.18,30.08,29.48,29.18,28.28,27.88,23.58,20.97,21.68,29.71,29.58,26.58,26.89
1901,18.47,22.17,27.07,31.07,30.67,30.67,29.37,28.97,28.87,28.37,23.37,19.56,20.54,29.60,29.67,26.87,26.67
1902,20.16,22.16,28.06,28.76,29.46,30.06,28.76,29.36,29.26,27.66,23.26,19.55,20.63,28.76,29.39,26.73,26.38
1903,20.05,21.75,27.15,30.65,31.85,30.45,29.75,28.75,28.45,27.45,23.05,18.74,20.45,29.88,29.65,26.32,26.58
1904,19.14,21.84,27.24,30.44,29.64,29.54,28.44,29.14,28.84,27.34,23.34,20.23,19.91,29.11,29.04,26.51,26.14
1905,18.83,18.63,25.03,27.73,29.33,31.93,28.73,29.13,28.73,27.53,23.33,19.72,19.23,27.36,29.93,26.53,25.76
1906,18.92,21.82,25.02,30.92,31.42,30.42,29.42,28.82,28.72,27.32,23.62,20.31,20.15,29.12,29.55,26.55,26.35
1907,20.51,22.41,25.51,28.91,30.31,29.71,29.41,29.01,29.41,28.31,23.81,19.50,21.08,28.24,29.38,27.18,26.47
1908,18.40,22.90,27.80,32.40,30.60,30.20,28.80,28.90,29.00,27.70,22.90,18.99,20.27,30.27,29.30,26.53,26.59
1909,21.39,22.59,28.59,28.49,30.59,29.09,28.89,28.49,28.89,27.49,24.19,19.98,20.99,29.22,28.82,26.86,26.47
1910,19.28,21.98,27.08,30.28,30.88,29.58,29.18,29.08,28.88,27.38,22.88,18.77,20.41,29.41,29.28,26.38,26.37
1911,21.37,21.87,26.67,29.87,30.77,29.47,29.57,28.97,28.87,27.57,23.97,18.56,20.67,29.10,29.34,26.80,26.48
1912,20.16,23.66,27.46,29.06,30.36,30.26,29.06,28.86,29.36,27.46,22.86,19.15,20.79,28.96,29.39,26.56,26.43
1913,19.35,22.25,25.95,30.95,29.85,28.25,28.95,28.65,29.15,26.95,22.45,19.34,20.25,28.92,28.62,26.18,25.99
1914,19.44,23.74,27.14,28.64,29.74,29.54,28.84,28.94,28.74,27.34,23.64,20.03,20.84,28.51,29.11,26.57,26.26
1915,19.93,22.53,26.33,30.53,30.63,29.73,29.63,29.53,28.63,28.83,25.43,19.62,20.83,29.16,29.63,27.63,26.81
1916,19.02,22.42,28.32,30.62,31.92,28.92,29.22,28.52,28.72,27.82,23.62,19.22,20.35,30.29,28.89,26.72,26.56
1917,18.82,22.22,26.42,30.32,29.42,29.22,28.92,28.52,28.42,27.72,23.52,19.11,20.09,28.72,28.89,26.55,26.06
1918,18.01,22.11,27.81,29.11,29.31,28.11,29.81,28.71,29.21,27.91,23.91,19.00,19.74,28.74,28.88,27.01,26.09
1919,20.30,21.70,27.90,29.90,30.60,29.30,29.00,28.60,28.70,27.70,23.60,19.29,20.33,29.47,28.97,26.67,26.36
1920,19.69,22.19,26.79,29.79,30.79,31.69,29.09,28.89,28.99,27.79,23.79,19.28,20.39,29.12,29.89,26.86,26.57
1921,19.88,22.18,28.18,29.68,31.88,29.68,29.18,28.38,28.68,26.68,22.78,20.17,20.45,29.91,29.08,26.05,26.37
1922,19.77,22.87,28.37,30.67,31.17,28.77,28.97,28.67,28.27,26.47,23.27,19.66,20.94,30.07,28.80,26.00,26.45
1923,19.16,21.96,26.16,29.96,31.26,31.16,28.76,28.26,29.16,27.06,23.46,19.95,20.26,29.13,29.39,26.56,26.34
1924,20.15,23.15,28.95,31.75,31.75,31.95,29.25,29.05,28.55,28.15,23.45,19.54,21.08,30.82,30.08,26.72,27.18
1925,18.74,21.54,27.44,29.64,30.64,29.84,28.54,29.44,29.04,27.14,23.44,19.43,19.94,29.24,29.27,26.54,26.25
1926,19.03,23.23,25.93,29.33,30.63,31.73,28.93,28.53,28.93,27.33,22.33,20.22,20.56,28.63,29.73,26.20,26.28
1927,19.92,22.22,26.02,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,999.90,20.79,999.90,999.90,999.90,999.90
1928,999.90,999.90,999.90,999.90,999.90,999.90,999.90,29.11,29.61,28.21,24.31,20.50,999.90,999.90,999.90,27.38,999.90
1929,20.70,21.80,27.40,30.40,31.90,30.20,28.60,28.80,28.90,27.20,23.50,19.49,21.00,29.90,29.20,26.53,26.66
1930,18.89,22.39,27.79,30.79,30.79,30.19,28.69,28.69,29.19,28.39,23.29,19.18,20.26,29.79,29.19,26.96,26.55
1931,21.48,22.78,27.28,31.08,30.38,31.28,29.08,29.48,29.18,27.58,23.28,20.27,21.15,29.58,29.95,26.68,26.84
1932,21.07,22.27,28.27,30.77,30.57,29.87,28.87,28.67,28.97,28.37,23.67,20.36,21.20,29.87,29.14,27.00,26.80
1933,18.36,23.06,27.66,29.56,29.76,29.56,28.76,28.46,28.56,27.36,23.66,19.85,20.59,28.99,28.93,26.53,26.26
1934,19.15,22.35,28.05,30.55,31.25,29.85,29.25,28.75,29.05,27.55,22.75,20.14,20.45,29.95,29.28,26.45,26.53
1935,18.94,22.84,27.54,29.54,32.54,31.14,29.44,28.74,29.04,27.94,23.64,20.13,20.64,29.87,29.77,26.87,26.79
1936,19.63,22.43,28.73,31.13,29.63,28.53,29.03,29.13,28.63,27.33,24.33,20.62,20.73,29.83,28.90,26.76,26.56
1937,18.42,21.92,26.82,30.22,30.82,29.62,29.12,28.82,28.82,27.32,23.52,19.31,20.32,29.29,29.19,26.55,26.34
1938,20.81,21.01,29.31,31.71,29.51,29.21,29.01,28.61,29.31,28.11,23.11,19.30,20.38,30.18,28.94,26.84,26.59
1939,20.60,23.70,27.50,31.60,31.50,30.10,28.60,28.10,28.60,27.80,23.60,20.29,21.20,30.20,28.93,26.67,26.75
